,Area,Chart,Message,Authority,Date,StartDate,EndDate,BroadcastingDate,GeometryType,Coordinates,lon_centroid,lat_centroid
6130,WESTERN SOUTH PACIFIC./NEW CALEDONIA./DNC 06.,82030.,1. DERELICT VESSEL AGROUND IN 22-02.2S 168-38.5E.    SALVAGE OPERATIONS IN PROGRESS UNTIL 30 JUN.    FIVE MILE BERTH REQUESTED. 2. CANCEL HYDROPAC 787/18. 3. CANCEL THIS MSG 01 JUL 18.//,AVURNAV NOUMEA,2018-03-31 00:00:00,2018-06-21,2018-07-01,2018-06-21,Point,"[(168.641667, -22.036666, 0.0)]",168.641667,-22.036666
34913,EASTERN MEDITERRANEAN SEA. ,NO CHART,"STRAIT OF SICILY. LINOSA TO LAMPEDUSA.  DNC 08, DNC 09. SEVEN METER VESSEL, EIGHT PERSONS ON BOARD, OVERDUE LINOSA (35-52-12N 012-52-12E)  TO LAMPEDUSA (35-30-00N 012-36-00E). VESSELS IN VICINITY REQUESTED TO KEEP A SHARP LOOKOUT, ASSIST IF POSSIBLE. REPORTS TO MRCC ROME, INMARSAT-C: 424744220,  PHONE: 3906 5908 4527, 3906 5908 4409, FAX: 390 6592 2737, 3906 5908 4793,  E-MAIL: ITMRCC@MIT.GOV.IT.//",MRCC ROME,2018-08-04 00:00:00,2018-08-23,2018-08-23,2018-08-23,GeometryCollection,"[(12.87, 35.87, 0.0), (12.6, 35.5, 0.0), (12.87, 35.87, 0.0)]",12.735,35.685
52928,ENGLISH CHANNEL./ENGLAND./DNC 20.,NO CHART,"FISHING GEAR, MARKED BY BUOYS, ABANDONED  IN 50-33.79N 002-51.83W.//",WZ,2018-09-29 00:00:00,2018-10-04,2018-10-04,2018-10-04,Point,"[(-2.863834, 50.563167, 0.0)]",-2.863834,50.563167
20194,AEGEAN SEA./DNC 09.,NO CHART,"1. GUNNERY AND MISSILE OPERATIONS 0530Z TO SUNSET DAILY    WEDNESDAYS THRU SATURDAYS 01 JAN THRU 31 DEC 18:    A. IN AREA BOUND BY       36-18.00N 024-07.00E, 36-18.00N 025-59.00E,       36-25.00N 026-12.00E, 36-16.00N 026-40.00E,       35-36.00N 026-41.00E, 35-31.00N 024-11.00E,       35-36.00N 024-07.00E.    B. IN AREA WITHIN 1000 METERS OF 32-00.00N 024-13.00E.    C. IN AREA WITHIN 1000 METERS OF 35-28.00N 024-11.75E. 2. CANCEL THIS MSG 01 JAN 19.//",GREEK NAVTEX IRAKLEIO,2017-12-27 00:00:00,2018-07-20,2019-01-01,2018-07-20,GeometryCollection,"[(24.216667, 32.000902, 0.0), (24.216874, 32.000885, 0.0), (24.217072, 32.000833, 0.0), (24.217255, 32.00075, 0.0), (24.217415, 32.000638, 0.0), (24.217547, 32.000501, 0.0), (24.217645, 32.000345, 0.0), (24.217705, 32.000176, 0.0), (24.217725, 32.0, 0.0), (24.217705, 31.999824, 0.0), (24.217645, 31.999655, 0.0), (24.217547, 31.999499, 0.0), (24.217415, 31.999363, 0.0), (24.217255, 31.99925, 0.0), (24.217072, 31.999167, 0.0), (24.216874, 31.999116, 0.0), (24.216667, 31.999098, 0.0), (24.216461, 31.999116, 0.0), (24.216262, 31.999167, 0.0), (24.216079, 31.99925, 0.0), (24.215919, 31.999363, 0.0), (24.215787, 31.999499, 0.0), (24.215689, 31.999655, 0.0), (24.215629, 31.999824, 0.0), (24.215609, 32.0, 0.0), (24.215629, 32.000176, 0.0), (24.215689, 32.000345, 0.0), (24.215787, 32.000501, 0.0), (24.215919, 32.000638, 0.0), (24.216079, 32.00075, 0.0), (24.216262, 32.000833, 0.0), (24.216461, 32.000885, 0.0), (24.216667, 32.000902, 0.0), (24.216667, 32.000902, 0.0), (24.216667, 32.0, 0.0)]",24.21666700370744,32.00005777859945
17954,AEGEAN SEA./DNC 09.,NO CHART,"AN EARTHQUAKE OCCURRED AT 202231Z JUL WITH A PRELIMINARY MAGNITUDE OF 6.8, IN 36-59N 27-34E. A TSUNAMI MAY HAVE BEEN GENERATED. TSUNAMI WAVES  ARE POSSIBLE ALONG SOME COASTS. TSUNAMI WAVE HEIGHTS CANNOT BE PREDICTED AND MAY BE A SERIES OF WAVES WHICH COULD BE DANGEROUS FOR SEVERAL HOURS AFTER THE INITIAL WAVE ARRIVAL.//",IOTWMS,2017-07-20 00:00:00,2018-07-17,2018-07-17,2018-07-17,Point,"[(27.566667, 36.983334, 0.0)]",27.566667,36.983334
37278,WESTERN NORTH PACIFIC. /PHILIPPINE SEA. /DNC 12. ,97029.,DISCOLORED WATER IN VICINITY 31-54.5N 140-01.6E AT 240250Z MAR.//,NAVAREA XI,2017-03-24 00:00:00,2018-08-28,2018-08-28,2018-08-28,Point,"[(140.026667, 31.908334, 0.0)]",140.026667,31.908334
6891,EAST CHINA SEA./TAIWAN STRAIT./DNC 23.,NO CHART,"1. GUNNERY EXERCISES 2300Z TO 1000Z COMMENCING DAILY    31 MAY, 03 THRU 07, 10 THRU 14, 18 THRU 21    AND 24 THRU 28 JUN IN AREAS:    A. BOUND BY       25-48N 120-48E, 25-48N 121-20E,       24-52N 120-23E, 24-52N 119-55E.    B. WITHIN 31 MILES OF 25-20N 120-37E. 2. CANCEL THIS MSG 291100Z JUN 18.//",NAVAREA XI,2018-05-27 00:00:00,2018-06-22,2018-06-29,2018-06-22,GeometryCollection,"[(120.616667, 25.850469, 0.0), (120.72792, 25.840553, 0.0), (120.834898, 25.811184, 0.0), (120.933489, 25.763474, 0.0), (121.019905, 25.699238, 0.0), (121.090825, 25.620918, 0.0), (121.143523, 25.531499, 0.0), (121.175974, 25.434399, 0.0), (121.186932, 25.333334, 0.0), (121.175974, 25.232183, 0.0), (121.143523, 25.134839, 0.0), (121.090825, 25.045057, 0.0), (121.019905, 24.966308, 0.0), (120.933489, 24.901642, 0.0), (120.834898, 24.853569, 0.0), (120.72792, 24.823956, 0.0), (120.616667, 24.813955, 0.0), (120.505414, 24.823956, 0.0), (120.398436, 24.853569, 0.0), (120.299845, 24.901642, 0.0), (120.213429, 24.966308, 0.0), (120.142509, 25.045057, 0.0), (120.089811, 25.134839, 0.0), (120.05736, 25.232183, 0.0), (120.046402, 25.333334, 0.0), (120.05736, 25.434399, 0.0), (120.089811, 25.531499, 0.0), (120.142509, 25.620918, 0.0), (120.213429, 25.699238, 0.0), (120.299845, 25.763474, 0.0), (120.398436, 25.811184, 0.0), (120.505414, 25.840553, 0.0), (120.616667, 25.850469, 0.0), (120.616667, 25.850469, 0.0), (120.616667, 25.332212, 0.0)]",120.61666700000002,25.366602550734846
28217,SOUTH CHINA SEA. /VIETNAM. /DNC 11. ,93360.,"NAVIGATION PROHIBITED UNTIL FURTHER NOTICE IN AREA BOUND BY  09-54.35N 106-45.34E, 09-54.08N 106-45.22E,  09-52.95N 106-47.71E, 09-53.30N 106-47.86E. VESSELS INTENDING TO ENTER AREA SHOULD CONTACT THO PORT AUTHORITY,  PHONE: 73 385 3004, FAX: 73 385 3221.//",HAIPHONG RADIO,2017-03-24 00:00:00,2018-08-08,2018-08-08,2018-08-08,GeometryCollection,"[(106.755667, 9.905834, 0.0), (106.753667, 9.901334, 0.0), (106.795167, 9.8825, 0.0), (106.797667, 9.888334, 0.0), (106.755667, 9.905834, 0.0), (106.755667, 9.905834, 0.0), (106.775667, 9.894167, 0.0)]",106.77395607326531,9.895410742105106
19554,WESTERN SOUTH ATLANTIC./BRAZIL-SOUTHEAST COAST./DNC 01.,NO CHART,1. UNDERWATER OPERATIONS 1100Z TO 2000Z DAILY    02 THRU 25 JUL BY M/V AM CONTRECOEUR AND    M/V PROBOAT IN 20-18.97S 040-08.37W.    WIDE BERTH REQUESTED. 2. CANCEL THIS MSG 252100Z JUL 18.//,NAVAREA V COASTAL E,2018-07-01 00:00:00,2018-07-19,2018-07-25,2018-07-19,Point,"[(-40.1395, -20.316166, 0.0)]",-40.1395,-20.316166
46486,BLACK SEA./UKRAINE./DNC 10.,NO CHART,1. NAVIGATION PROHIBITED 312100Z AUG TO 302100Z SEP    IN AREA BETWEEN    44-24.3N 44-22.6N AND 033-53.0E 033-52.5E. 2. CANCEL THIS MSG 302200Z SEP 18.//,NAVAREA III,2018-08-31 00:00:00,2018-09-20,2018-09-30,2018-09-20,GeometryCollection,"[(33.875, 44.405, 0.0), (33.883334, 44.405, 0.0), (33.883334, 44.376667, 0.0), (33.875, 44.376667, 0.0), (33.875, 44.405, 0.0), (33.875, 44.405, 0.0), (33.879167, 44.390833, 0.0)]",33.87881777298354,44.39202072100198
25912,AEGEAN SEA./DNC 09.,NO CHART,"1. GUNNERY AND MISSILE OPERATIONS 0530Z TO SUNSET DAILY    WEDNESDAYS THRU SATURDAYS 01 JAN THRU 31 DEC 18:    A. IN AREA BOUND BY       36-18.00N 024-07.00E, 36-18.00N 025-59.00E,       36-25.00N 026-12.00E, 36-16.00N 026-40.00E,       35-36.00N 026-41.00E, 35-31.00N 024-11.00E,       35-36.00N 024-07.00E.    B. IN AREA WITHIN 1000 METERS OF 32-00.00N 024-13.00E.    C. IN AREA WITHIN 1000 METERS OF 35-28.00N 024-11.75E. 2. CANCEL THIS MSG 01 JAN 19.//",GREEK NAVTEX IRAKLEIO,2017-12-27 00:00:00,2018-08-01,2019-01-01,2018-08-01,GeometryCollection,"[(24.116667, 36.3, 0.0), (25.983334, 36.3, 0.0), (26.2, 36.416667, 0.0), (26.666667, 36.266667, 0.0), (26.683334, 35.6, 0.0), (24.183334, 35.516667, 0.0), (24.116667, 35.6, 0.0), (24.116667, 36.3, 0.0), (24.116667, 36.3, 0.0), (25.4, 35.966667, 0.0)]",25.282906616435437,35.969770971575635
52049,EASTERN NORTH PACIFIC./CALIFORNIA.,NO CHART,"1. HAZARDOUS OPERATIONS 010700Z OCT TO 010659Z NOV    IN AREA BOUND BY    32-33N 118-25W, 32-35N 118-16W,     32-35N 117-40W, 31-55N 117-40W,     31-55N 118-25W.. 2. CANCEL THIS MSG 010759Z NOV 18.//",FACSFAC SAN DIEGO,2018-09-26 00:00:00,2018-10-02,2018-11-01,2018-10-02,GeometryCollection,"[(-118.416667, 32.55, 0.0), (-118.266667, 32.583334, 0.0), (-117.666667, 32.583334, 0.0), (-117.666667, 31.916667, 0.0), (-118.416667, 31.916667, 0.0), (-118.416667, 32.55, 0.0), (-118.416667, 32.55, 0.0), (-118.041667, 32.25, 0.0)]",-118.06561462478825,32.26831347142111
28934,GULF OF TONKIN./VIETNAM./DNC 23.,93600.,DANGEROUS WRECK IN 19-51N 106-27E.//,HAIPHONG RADIO,2017-03-13 00:00:00,2018-08-09,2018-08-09,2018-08-09,Point,"[(106.45, 19.85, 0.0)]",106.45,19.85
45910,AEGEAN SEA./DNC 09.,NO CHART,"1. HAZARDOUS OPERATIONS 0500Z TO SUNSET DAILY     19 AND 20 SEP IN AREA BOUND BY    35-36N 024-07E, 35-48N 024-07E,    35-48N 024-28E, 35-31N 024-28E,     35-31N 024-11E. 2. CANCEL THIS MSG 201730Z SEP 18.//",NAVAREA III,2018-09-18 00:00:00,2018-09-19,2018-09-20,2018-09-19,GeometryCollection,"[(24.116667, 35.6, 0.0), (24.116667, 35.8, 0.0), (24.466667, 35.8, 0.0), (24.466667, 35.516667, 0.0), (24.183334, 35.516667, 0.0), (24.116667, 35.6, 0.0), (24.116667, 35.6, 0.0), (24.291667, 35.658333, 0.0)]",24.28653045414834,35.65955919065689
14695,SEA OF JAPAN./RUSSIA./DNC 24.,NO CHART,1. DERELICT F/V ADRIFT IN:    A. 42-04N 132-57E.    B. 40-22N 132-52E. 2. CANCEL THIS MSG 121056Z JUL 18.//,VLADIVOSTOK,2018-07-09 00:00:00,2018-07-10,2018-07-12,2018-07-10,Point,"[(132.866667, 40.366667, 0.0)]",132.866667,40.366667
7775,WESTERN CARIBBEAN SEA./PANAMA.,26060.,1. NAVIGATION PROHIBITED IN AREA WITHIN .5 MILES OF    09-25.53N 079-52.09W. 2. CANCEL NAVAREA IV 450/17.//,GUERINI JONATHAN,2017-06-06 00:00:00,2018-06-25,2018-06-25,2018-06-25,GeometryCollection,"[(-79.868167, 9.433872, 0.0), (-79.866522, 9.433712, 0.0), (-79.864941, 9.433235, 0.0), (-79.863483, 9.432461, 0.0), (-79.862205, 9.43142, 0.0), (-79.861157, 9.430152, 0.0), (-79.860377, 9.428704, 0.0), (-79.859898, 9.427134, 0.0), (-79.859736, 9.4255, 0.0), (-79.859898, 9.423867, 0.0), (-79.860377, 9.422296, 0.0), (-79.861157, 9.420849, 0.0), (-79.862205, 9.41958, 0.0), (-79.863483, 9.418539, 0.0), (-79.864941, 9.417765, 0.0), (-79.866522, 9.417289, 0.0), (-79.868167, 9.417128, 0.0), (-79.869812, 9.417289, 0.0), (-79.871394, 9.417765, 0.0), (-79.872851, 9.418539, 0.0), (-79.874129, 9.41958, 0.0), (-79.875178, 9.420849, 0.0), (-79.875957, 9.422296, 0.0), (-79.876437, 9.423867, 0.0), (-79.876599, 9.4255, 0.0), (-79.876437, 9.427134, 0.0), (-79.875957, 9.428704, 0.0), (-79.875178, 9.430152, 0.0), (-79.874129, 9.43142, 0.0), (-79.872851, 9.432461, 0.0), (-79.871394, 9.433235, 0.0), (-79.869812, 9.433712, 0.0), (-79.868167, 9.433872, 0.0), (-79.868167, 9.433872, 0.0), (-79.868167, 9.4255, 0.0)]",-79.86816724774323,9.426073919562414
18275,SOUTH CHINA SEA./DNC 11.,NO CHART,"DISTRESS SIGNAL RECEIVED FROM VESSEL GRACE RIVER IN 06-08.6N 107-04.5E AT 030857Z JUL. VESSELS IN VICINITY REQUESTED TO KEEP A SHARP LOOKOUT, ASSIST IF POSSIBLE.  REPORTS TO MRCC SINGAPORE, TELEX: 20021, PHONE: 656 226 5539, FAX: 656 227 9971,  E-MAIL: POCC@MPA.GOV.SG.//",MRCC SINGAPORE,2018-07-03 00:00:00,2018-07-17,2018-07-17,2018-07-17,Point,"[(107.075, 6.143334, 0.0)]",107.075,6.143334
28816,EASTERN MEDITERRANEAN SEA.,NO CHART,"MALTA. DNC 09. SURVEY OPERATIONS 11 JUN UNTIL FURTHER NOTICE BY M/V HERCULES WITH SUBMERSIBLE IN AREA BOUND BY 36-05.24N 014-15.93E, 36-05.72N 014-16.61E, 36-00.81N 014-28.25E, 36-00.08N 014-27.91E, 36-02.15N 014-21.72E. 500 METER BERTH REQUESTED.//",NAVAREA III,2018-06-08 00:00:00,2018-08-09,2018-08-09,2018-08-09,GeometryCollection,"[(14.2655, 36.087334, 0.0), (14.276834, 36.095334, 0.0), (14.470834, 36.0135, 0.0), (14.465167, 36.001334, 0.0), (14.362, 36.035834, 0.0), (14.2655, 36.087334, 0.0), (14.2655, 36.087334, 0.0), (14.368167, 36.048334, 0.0)]",14.358514016655393,36.05130799749353
8657,BERING STRAIT./DNC 27.,"16190,","1. SCIENTIFIC MOORINGS ESTABLISHED:    A. A3-17, IN 66-19.59N 168-57.13W AT 56 METERS,       TOP FLOAT 15 METERS.    B. A2-17, IN 65-46.88N 168-34.08W AT 55 METERS,       TOP FLOAT 15 METERS.    C. A4-17, IN 65-44.76N 168-15.78W AT 48 METERS,       TOP FLOAT 15 METERS. 2. CANCEL HYDROARC 124/16.//",REBECCA WOODGATE,2017-07-11 00:00:00,2018-06-27,2018-06-27,2018-06-27,Point,"[(-168.568, 65.781334, 0.0)]",-168.568,65.781334
23348,SINGAPORE STRAIT./INDONESIA./DNC 03.,71265.,1. BATU BERHANTI ISOLATED DANGER MARKS    LIGHT BUOY 01-11.1N 103-53.0E UNLIT. 2. CANCEL HYDROPAC 1921/18.//,NAVAREA XI,2018-07-01 00:00:00,2018-07-26,2018-07-26,2018-07-26,Point,"[(103.883334, 1.185, 0.0)]",103.883334,1.185
40485,ARABIAN SEA./INDIA./DNC 03.,NO CHART,"1. HAZARDOUS OPERATIONS 0900Z TO 1200Z    04, 07, 11 AND 14 SEP AND 1230Z TO 1430Z DAILY    07 AND 14 SEP IN AREA BOUND BY    09-57.5N 075-59.5E, 09-57.7N 076-14.2E,    09-44.0N 076-17.5E, 09-42.5N 076-09.5E. 2. CANCEL THIS MSG 141530Z SEP 18.//",NAVAREA VIII,2018-08-31 00:00:00,2018-09-04,2018-09-14,2018-09-04,GeometryCollection,"[(75.991667, 9.958334, 0.0), (76.236667, 9.961667, 0.0), (76.291667, 9.733334, 0.0), (76.158334, 9.708334, 0.0), (75.991667, 9.958334, 0.0), (75.991667, 9.958334, 0.0), (76.141667, 9.835, 0.0)]",76.14053392977807,9.86161800105172
1415,CANADA. /DNC 28. ,15881.,4.27 METER DEPTH REPORTED IN 68-24.82N 096-21.65W.//,NAVAREA XVIII,2017-09-12 00:00:00,2018-06-12,2018-06-12,2018-06-12,Point,"[(-96.360834, 68.413667, 0.0)]",-96.360834,68.413667
8001,NORTH SEA./SHETLAND ISLANDS./DNC 20.,35066.,1. DEPTHS REPORTED:    A. 11.1 METERS IN 60-15.79N 001-02.73W.    B. 18.7 METERS IN 60-15.94N 001-02.50W.    C. 18.9 METERS IN 60-15.54N 001-02.30W.    D. 15.9 METERS IN 60-25.68N 000-53.99W. 2. CANCEL HYDROLANT 1061/17.//,WZ,2017-05-12 00:00:00,2018-06-26,2018-06-26,2018-06-26,Point,"[(-1.038334, 60.259, 0.0)]",-1.038334,60.259
20638,BAY OF CAMPECHE./MEXICO.,28310.,DANGEROUS WRECK IN 19-03.3N 095-56.0W.//,MEXICO IV,2017-11-07 00:00:00,2018-07-20,2018-07-20,2018-07-20,Point,"[(-95.933334, 19.055, 0.0)]",-95.933334,19.055
21150,KAMCHATKA./DNC 24.,96500.,1. MOORING BUOYS ESTABLISHED IN:    A. 53-02-57N 158-34-10E.    B. 53-03-02N 158-34-10E.    C. 53-03-02N 158-34-17E. 2. NAVIGATION PROHIBITED IN AREA WITHIN     0.15 MILES OF 53-02-59N 158-34-13E.//,PETROPAVLOSK,2018-03-16 00:00:00,2018-07-23,2018-07-23,2018-07-23,Point,"[(158.570278, 53.049723, 0.0)]",158.570278,53.049723
5915,NORTH SEA./ENGLAND./DNC 20.,37057.,ALL NAVIGATIONAL AIDS AT SHERINGHAM SHOAL WINDFARM 53-08N 001-10E ARE INOPERATIVE.//,WZ,2018-05-31 00:00:00,2018-06-21,2018-06-21,2018-06-21,Point,"[(1.166667, 53.133334, 0.0)]",1.166667,53.133334
17459,SOUTH CHINA SEA./VIETNAM./DNC 11.,93480.,"1. DANGEROUS WRECKS IN:    A. 13-45.00N 109-14.50E.    B. 13-45.00N 109-15.10E.    C. 13-44.60N 109-14.40E.    D. 13-44.15N 109-14.00E.    E. 13-44.00N 109-13.30E.    F. 13-42.70N 109-14.35E.    G. 13-44.70N 109-14.80E. 2. CANCEL HYDROPAC 3787/17, 3794/17, 3802/17,    3806/17.//",HAIPHONG RADIO,2017-11-05 00:00:00,2018-07-16,2018-07-16,2018-07-16,Point,"[(109.246667, 13.745, 0.0)]",109.246667,13.745
2040,WESTERN CARIBBEAN SEA. ,NO CHART,"S/V TORTUGA 1, TWO PERSONS ON BOARD, UNREPORTED.  LAST KNOWN POSITION IN 12-16-54N 078-28-12W AT  230919Z MAY. VESSELS IN VICINITY REQUESTED TO  KEEP A SHARP LOOKOUT, ASSIST IF POSSIBLE.  REPORTS TO ANY COASTAL RADIO STATION.//",COLOMBIA,2018-05-29 00:00:00,2018-06-12,2018-06-12,2018-06-12,Point,"[(-78.47, 12.281667, 0.0)]",-78.47,12.281667
14399,EASTERN MEDITERRANEAN SEA.,NO CHART,"LIBYA. DNC 09. 1. VESSEL, 100 PERSONS ON BOARD, REQUESTING     ASSISTANCE IN 34-07N 013-41E AT 212300Z JUN.    VESSELS IN VICINITY REQUESTED TO KEEP A SHARP    LOOKOUT, ASSIST IF POSSIBLE. REPORTS TO MRCC ROME,    INMARSAT-C: 424744220,     PHONE: 3906 5908 4527, 3906 5908 4409,    FAX: 390 6592 2737, 3906 5908 4793,     E-MAIL: ITMRCC@MIT.GOV.IT 2. CANCEL HYDROLANT 2013/18.//",MRCC ROME,2018-06-22 00:00:00,2018-07-10,2018-07-10,2018-07-10,Point,"[(13.683334, 34.116667, 0.0)]",13.683334,34.116667
3046,EASTERN MEDITERRANEAN SEA.,NO CHART,"LIBYA. DNC 09. VESSEL, NUMEROUS PERSONS ON BOARD, REQUESTING ASSISTANCE IN VICINITY 33-00N 014-00E. VESSELS IN VICINITY REQUESTED TO KEEP A SHARP LOOKOUT, ASSIST IF POSSIBLE. REPORTS TO MRCC ROME, INMARSAT-C: 424744220, PHONE: 3906 5908 4527, 3906 5908 4409, FAX: 390 6592 2737, 3906 5908 4793, E-MAIL: ITMRCC@MIT.GOV.IT.//",MRCC ROME,2018-06-05 00:00:00,2018-06-14,2018-06-14,2018-06-14,Point,"[(14.0, 33.0, 0.0)]",14.0,33.0
31303,EASTERN SOUTH PACIFIC./CHILE./DNC 07.,NO CHART,1. PUERTO MONTT RADIO 41-28.8S 072-57.7W    MF AND HF DSC SERVICE OFF AIR. 2. TALCAHUANO RADIO 36-41.5S 073-06.5W     ASSUMES CONTROL.//,NAVAREA XV,2018-08-06 00:00:00,2018-08-14,2018-08-14,2018-08-14,Point,"[(-72.961667, -41.48, 0.0)]",-72.961667,-41.48
