,Label
682,8
683,8
684,8
685,8
686,6
687,6
688,6
689,6
690,5
691,5
692,6
693,6
694,6
695,6
696,6
697,6
698,6
699,6
700,6
701,6
702,6
703,6
704,6
705,6
706,4
707,4
708,4
709,4
710,6
711,6
712,6
713,6
714,6
715,6
716,6
717,6
718,6
719,6
720,6
721,6
722,6
723,6
724,6
725,6
726,6
727,6
728,6
729,6
730,6
731,6
732,6
733,3
734,3
735,3
736,8
737,8
738,8
739,9
740,9
741,9
742,4
743,8
744,8
745,8
746,4
747,8
748,4
749,4
750,1
751,4
752,4
753,3
754,4
755,4
756,4
757,4
758,4
759,4
760,4
761,4
762,4
763,4
764,4
765,4
766,4
767,4
768,4
769,4
770,4
771,4
772,2
773,1
774,9
775,1
776,1
777,2
778,7
779,4
780,4
781,4
782,4
783,1
784,3
785,7
786,8
787,8
788,8
789,8
790,8
791,8
792,8
793,8
794,8
795,8
796,8
797,8
798,8
799,8
800,8
801,8
802,8
803,8
804,8
805,8
806,2
807,7
808,3
809,7
810,7
811,2
812,3
813,2
814,2
815,7
816,1
817,7
818,2
819,2
820,2
821,3
822,4
823,1
824,7
825,1
826,6
827,2
828,1
829,7
830,7
831,3
832,2
833,7
834,2
835,3
836,3
837,8
838,3
839,3
840,6
841,3
842,3
843,3
844,2
845,2
846,7
847,3
848,7
849,2
850,3
851,3
852,7
853,7
854,3
855,2
856,4
857,3
858,2
859,7
860,7
861,8
862,3
863,8
864,7
865,7
866,2
867,7
868,7
869,3
870,3
871,3
872,3
873,3
874,3
875,3
876,3
877,3
878,3
879,9
880,3
881,3
882,3
883,7
884,3
885,3
886,3
887,3
888,3
889,8
890,8
891,8
892,2
893,3
894,3
895,2
896,2
897,8
898,2
899,3
900,3
901,3
902,3
903,3
904,3
905,4
906,3
907,4
908,4
909,4
910,4
911,3
912,3
913,9
914,3
915,3
916,3
917,3
918,3
919,3
920,3
921,2
922,8
923,8
924,3
925,6
926,8
927,3
928,3
929,3
930,3
931,8
932,3
933,4
934,4
935,4
936,4
937,4
938,3
939,3
940,8
941,3
942,8
943,8
944,8
945,7
946,1
947,3
948,3
949,3
950,8
951,8
952,8
953,8
954,3
955,3
956,3
957,3
958,3
959,8
960,4
961,3
962,8
963,3
964,3
965,3
966,3
967,3
968,3
969,3
970,3
971,8
972,4
973,4
974,4
975,4
976,4
977,4
978,4
979,4
980,3
981,4
982,4
983,4
984,4
985,4
986,4
987,5
988,1
989,1
990,1
991,2
992,2
993,9
994,6
995,3
996,7
997,7
998,6
999,4
1000,1
1001,2
1002,2
1003,4
1004,3
1005,3
1006,9
1007,1
1008,1
1009,2
1010,1
1011,5
1012,8
1013,9
1014,7
1015,4
1016,4
1017,2
1018,2
1019,5
1020,1
1021,1
1022,7
1023,7
1024,7
1025,7
1026,7
1027,2
1028,1
1029,2
1030,1
1031,9
1032,9
1033,1
1034,1
1035,9
1036,2
1037,3
1038,1
1039,1
1040,1
1041,4
1042,4
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,6
1052,2
1053,2
1054,1
1055,3
1056,3
1057,2
1058,2
1059,2
1060,1
1061,4
1062,9
1063,9
1064,4
1065,7
1066,1
1067,2
1068,1
1069,3
1070,2
1071,1
1072,9
1073,1
1074,7
1075,4
1076,8
1077,7
1078,6
1079,6
1080,6
1081,6
1082,2
1083,4
1084,3
1085,3
1086,7
1087,1
1088,1
1089,9
1090,3
1091,1
1092,7
1093,3
1094,3
1095,5
1096,3
1097,6
1098,2
1099,3
1100,3
1101,3
1102,3
1103,3
1104,3
1105,3
1106,3
1107,3
1108,2
1109,3
1110,2
1111,3
1112,2
1113,3
1114,3
1115,8
1116,8
1117,8
1118,8
1119,8
1120,8
1121,8
1122,8
1123,3
1124,3
1125,3
1126,8
1127,3
1128,3
1129,3
1130,3
1131,3
1132,3
1133,3
1134,3
1135,6
1136,3
1137,8
1138,3
1139,8
1140,3
1141,3
1142,3
1143,3
1144,3
1145,3
1146,3
1147,3
1148,3
1149,3
1150,3
1151,3
1152,3
1153,3
1154,3
1155,3
1156,3
1157,2
1158,3
1159,3
1160,8
1161,3
1162,3
1163,3
1164,8
1165,8
1166,8
1167,8
1168,8
1169,2
1170,3
1171,3
1172,8
1173,8
1174,8
1175,8
1176,3
1177,7
1178,3
1179,3
1180,3
1181,3
1182,3
1183,4
1184,9
1185,9
1186,9
1187,3
1188,8
1189,3
1190,5
1191,8
1192,6
1193,6
1194,6
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,4
1203,4
1204,1
1205,2
1206,2
1207,4
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,7
1228,1
1229,1
1230,1
1231,1
1232,1
1233,1
1234,4
1235,6
1236,8
1237,1
1238,7
1239,7
1240,7
1241,7
1242,7
1243,7
1244,7
1245,1
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,3
1260,3
1261,3
1262,0
1263,7
1264,4
1265,2
1266,1
1267,1
1268,1
1269,7
1270,1
1271,3
1272,3
1273,3
1274,3
1275,3
1276,3
1277,3
1278,3
1279,3
1280,3
1281,3
1282,3
1283,0
1284,0
1285,2
1286,2
1287,2
1288,2
1289,1
1290,3
1291,7
1292,7
1293,7
1294,7
1295,7
1296,7
1297,7
1298,7
1299,7
1300,7
1301,7
1302,7
1303,1
1304,2
1305,7
1306,1
1307,1
1308,1
1309,7
1310,1
1311,1
1312,1
1313,1
1314,1
1315,4
1316,4
1317,2
1318,2
1319,2
1320,3
1321,3
1322,3
1323,7
1324,3
1325,1
1326,1
1327,1
1328,9
1329,2
1330,3
1331,3
1332,3
1333,3
1334,9
1335,9
1336,9
1337,9
1338,8
1339,9
1340,4
1341,4
1342,4
1343,4
1344,4
1345,4
1346,4
1347,4
1348,4
1349,4
1350,4
1351,4
1352,4
1353,4
1354,4
1355,4
1356,6
1357,6
1358,6
1359,6
1360,6
1361,7
1362,7
1363,7
1364,2
1365,2
1366,4
1367,4
1368,4
1369,4
1370,4
1371,4
1372,4
1373,7
1374,7
1375,7
1376,7
1377,7
1378,3
1379,1
1380,2
1381,2
1382,2
1383,9
1384,8
1385,8
1386,8
1387,8
1388,8
1389,8
1390,8
1391,9
1392,6
1393,6
1394,6
1395,6
1396,5
1397,5
1398,6
1399,6
1400,6
1401,6
1402,6
1403,6
1404,6
1405,6
1406,6
1407,6
1408,6
1409,6
1410,6
1411,6
1412,4
1413,4
1414,4
1415,4
1416,6
1417,6
1418,6
1419,6
1420,6
1421,6
1422,6
1423,6
1424,6
1425,6
1426,6
1427,6
1428,6
1429,6
1430,6
1431,6
1432,6
1433,6
1434,6
1435,6
1436,6
1437,6
1438,6
1439,3
1440,3
1441,3
1442,8
1443,8
1444,8
1445,9
1446,9
1447,9
1448,8
1449,8
1450,8
1451,4
1452,8
1453,4
1454,4
1455,1
1456,4
1457,4
1458,3
1459,4
1460,4
1461,4
1462,4
1463,4
1464,4
1465,4
1466,4
1467,4
1468,4
1469,4
1470,4
1471,4
1472,4
1473,4
1474,4
1475,4
1476,4
1477,2
1478,1
1479,9
1480,1
1481,1
1482,2
1483,7
1484,4
1485,4
1486,4
1487,4
1488,1
1489,3
1490,7
1491,8
1492,8
1493,8
1494,8
1495,8
1496,8
1497,8
1498,8
1499,8
1500,8
1501,8
1502,8
1503,8
1504,8
1505,8
1506,8
1507,8
1508,8
1509,8
1510,8
1511,2
1512,7
1513,3
1514,7
1515,7
1516,2
1517,3
1518,2
1519,2
1520,7
1521,1
1522,7
1523,2
1524,2
1525,2
1526,3
1527,4
1528,1
1529,7
1530,1
1531,6
1532,2
1533,1
1534,7
1535,7
1536,3
1537,2
1538,7
1539,2
1540,3
1541,3
1542,8
1543,3
1544,3
1545,6
1546,3
1547,3
1548,3
1549,2
1550,2
1551,7
1552,3
1553,7
1554,2
1555,3
1556,3
1557,7
1558,7
1559,3
1560,2
1561,4
1562,3
1563,2
1564,7
1565,7
1566,8
1567,3
1568,8
1569,7
1570,7
1571,2
1572,7
1573,7
1574,3
1575,3
1576,3
1577,3
1578,3
1579,3
1580,3
1581,3
1582,3
1583,3
1584,9
1585,3
1586,3
1587,3
1588,7
1589,3
1590,3
1591,3
1592,3
1593,3
1594,8
1595,8
1596,8
1597,2
1598,3
1599,3
1600,2
1601,2
1602,8
1603,2
1604,3
1605,3
1606,3
1607,3
1608,3
1609,3
1610,4
1611,3
1612,4
1613,4
1614,4
1615,4
1616,3
1617,3
1618,3
1619,3
1620,3
1621,3
1622,3
1623,3
1624,3
1625,2
1626,8
1627,8
1628,3
1629,6
1630,8
1631,3
1632,3
1633,3
1634,3
1635,3
1636,4
1637,4
1638,4
1639,4
1640,4
1641,3
1642,3
1643,8
1644,3
1645,7
1646,1
1647,3
1648,3
1649,3
1650,8
1651,8
1652,8
1653,3
1654,3
1655,3
1656,3
1657,3
1658,8
1659,4
1660,3
1661,8
1662,3
1663,3
1664,3
1665,3
1666,3
1667,3
1668,3
1669,8
1670,3
1671,4
1672,8
1673,4
1674,4
1675,4
1676,4
1677,4
1678,4
1679,4
1680,4
1681,3
1682,4
1683,8
1684,8
1685,2
1686,8
1687,8
1688,4
1689,9
1690,9
1691,3
1692,3
1693,5
1694,1
1695,1
1696,1
1697,2
1698,2
1699,9
1700,6
1701,3
1702,7
1703,7
1704,6
1705,4
1706,1
1707,2
1708,2
1709,4
1710,3
1711,3
1712,9
1713,1
1714,1
1715,2
1716,1
1717,5
1718,8
1719,9
1720,7
1721,4
1722,4
1723,2
1724,2
1725,5
1726,1
1727,1
1728,7
1729,7
1730,7
1731,7
1732,7
1733,2
1734,1
1735,2
1736,1
1737,9
1738,9
1739,1
1740,1
1741,9
1742,2
1743,3
1744,1
1745,1
1746,1
1747,4
1748,4
1749,1
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,6
1758,2
1759,2
1760,1
1761,3
1762,3
1763,2
1764,2
1765,2
1766,1
1767,4
1768,9
1769,9
1770,4
1771,7
1772,1
1773,2
1774,1
1775,3
1776,2
1777,1
1778,9
1779,1
1780,7
1781,4
1782,8
1783,7
1784,6
1785,6
1786,6
1787,6
1788,2
1789,4
1790,3
1791,3
1792,7
1793,1
1794,1
1795,9
1796,3
1797,1
1798,7
1799,3
1800,3
1801,5
1802,6
1803,2
1804,3
1805,3
1806,3
1807,3
1808,3
1809,3
1810,3
1811,3
1812,3
1813,2
1814,3
1815,2
1816,3
1817,2
1818,3
1819,3
1820,8
1821,8
1822,8
1823,8
1824,8
1825,8
1826,8
1827,8
1828,3
1829,3
1830,3
1831,8
1832,3
1833,3
1834,3
1835,3
1836,3
1837,3
1838,3
1839,3
1840,6
1841,3
1842,8
1843,3
1844,8
1845,3
1846,3
1847,3
1848,3
1849,3
1850,3
1851,3
1852,3
1853,3
1854,3
1855,3
1856,3
1857,3
1858,3
1859,3
1860,3
1861,3
1862,3
1863,3
1864,8
1865,3
1866,3
1867,3
1868,8
1869,8
1870,8
1871,8
1872,8
1873,2
1874,3
1875,3
1876,3
1877,8
1878,3
1879,7
1880,3
1881,3
1882,3
1883,3
1884,3
1885,9
1886,9
1887,9
1888,3
1889,8
1890,3
1891,5
1892,8
1893,3
1894,8
1895,8
1896,8
1897,1
1898,4
1899,3
1900,9
1901,2
1902,6
1903,6
1904,6
1905,1
1906,1
1907,1
1908,1
1909,1
1910,1
1911,1
1912,4
1913,4
1914,1
1915,2
1916,2
1917,4
1918,1
1919,1
1920,1
1921,1
1922,1
1923,1
1924,1
1925,1
1926,1
1927,1
1928,1
1929,1
1930,1
1931,1
1932,1
1933,1
1934,1
1935,1
1936,1
1937,7
1938,1
1939,1
1940,1
1941,1
1942,1
1943,1
1944,4
1945,6
1946,8
1947,1
1948,7
1949,7
1950,7
1951,7
1952,7
1953,7
1954,7
1955,1
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,3
1970,3
1971,3
1972,0
1973,7
1974,4
1975,2
1976,1
1977,1
1978,1
1979,7
1980,1
1981,3
1982,3
1983,3
1984,3
1985,3
1986,3
1987,3
1988,3
1989,3
1990,3
1991,3
1992,3
1993,0
1994,0
1995,2
1996,2
1997,2
1998,2
1999,1
2000,3
2001,7
2002,7
2003,7
2004,7
2005,7
2006,7
2007,7
2008,7
2009,7
2010,7
2011,7
2012,7
2013,1
2014,2
2015,7
2016,1
2017,1
2018,1
2019,7
2020,1
2021,1
2022,1
2023,1
2024,1
2025,4
2026,4
2027,2
2028,2
2029,2
2030,3
2031,3
2032,3
2033,7
2034,3
2035,1
2036,1
2037,1
2038,9
2039,2
2040,3
2041,3
2042,3
2043,3
2044,9
2045,9
2046,9
2047,9
2048,8
2049,9
2050,4
2051,4
2052,4
2053,4
2054,4
2055,4
2056,4
2057,5
2058,4
2059,4
2060,4
2061,4
2062,4
2063,4
2064,4
2065,4
2066,4
2067,4
2068,6
2069,6
2070,6
2071,6
2072,6
2073,7
2074,7
2075,7
2076,2
2077,2
2078,4
2079,4
2080,4
2081,4
2082,4
2083,4
2084,4
2085,7
2086,7
2087,7
2088,7
2089,7
2090,3
2091,1
2092,2
2093,2
2094,2
2095,9
2096,8
2097,8
2098,8
2099,8
2100,8
2101,8
2102,8
2103,6
2104,6
2105,6
2106,6
2107,5
2108,5
2109,6
2110,6
2111,6
2112,6
2113,6
2114,6
2115,6
2116,6
2117,6
2118,6
2119,6
2120,6
2121,6
2122,6
2123,4
2124,4
2125,4
2126,4
2127,6
2128,6
2129,6
2130,6
2131,6
2132,6
2133,6
2134,6
2135,6
2136,6
2137,6
2138,6
2139,6
2140,6
2141,6
2142,6
2143,6
2144,6
2145,6
2146,6
2147,6
2148,6
2149,6
2150,3
2151,3
2152,3
2153,8
2154,8
2155,9
2156,9
2157,9
2158,8
2159,8
2160,8
2161,4
2162,8
2163,4
2164,4
2165,1
2166,4
2167,4
2168,3
2169,4
2170,4
2171,4
2172,4
2173,4
2174,4
2175,4
2176,4
2177,4
2178,4
2179,4
2180,4
2181,4
2182,4
2183,4
2184,4
2185,4
2186,4
2187,2
2188,1
2189,9
2190,1
2191,1
2192,2
2193,7
2194,4
2195,4
2196,4
2197,4
2198,1
2199,3
2200,7
2201,8
2202,8
2203,8
2204,8
2205,8
2206,8
2207,8
2208,8
2209,8
2210,8
2211,8
2212,8
2213,8
2214,8
2215,8
2216,8
2217,8
2218,8
2219,8
2220,8
2221,2
2222,7
2223,3
2224,7
2225,7
2226,2
2227,3
2228,2
2229,2
2230,7
2231,1
2232,7
2233,2
2234,2
2235,2
2236,3
2237,4
2238,1
2239,7
2240,1
2241,6
2242,2
2243,1
2244,7
2245,7
2246,3
2247,2
2248,7
2249,2
2250,3
2251,3
2252,8
2253,3
2254,3
2255,3
2256,3
2257,3
2258,2
2259,2
2260,7
2261,3
2262,7
2263,2
2264,3
2265,3
2266,7
2267,7
2268,3
2269,4
2270,3
2271,2
2272,7
2273,7
2274,8
2275,3
2276,8
2277,7
2278,7
2279,2
2280,7
2281,7
2282,3
2283,3
2284,3
2285,3
2286,3
2287,3
2288,3
2289,3
2290,3
2291,3
2292,9
2293,3
2294,3
2295,3
2296,7
2297,3
2298,3
2299,3
2300,3
2301,3
2302,8
2303,8
2304,8
2305,2
2306,3
2307,3
2308,2
2309,2
2310,8
2311,2
2312,3
2313,3
2314,3
2315,3
2316,3
2317,3
2318,4
2319,3
2320,4
2321,4
2322,4
2323,4
2324,3
2325,3
2326,3
2327,3
2328,3
2329,3
2330,3
2331,3
2332,3
2333,2
2334,8
2335,3
2336,6
2337,8
2338,3
2339,3
2340,3
2341,3
2342,3
2343,4
2344,4
2345,4
2346,4
2347,4
2348,3
2349,3
2350,3
2351,7
2352,1
2353,3
2354,3
2355,3
2356,8
2357,8
2358,8
2359,3
2360,3
2361,3
2362,3
2363,3
2364,8
2365,4
2366,3
2367,8
2368,3
2369,3
2370,3
2371,3
2372,3
2373,3
2374,3
2375,8
2376,3
2377,8
2378,3
2379,4
2380,8
2381,8
2382,2
2383,4
2384,9
2385,9
2386,3
2387,3
2388,4
2389,4
2390,4
2391,4
2392,4
2393,4
2394,4
2395,4
2396,4
2397,4
2398,4
2399,4
2400,4
2401,4
2402,4
2403,3
2404,8
2405,8
2406,5
2407,1
2408,1
2409,1
2410,2
2411,2
2412,9
2413,6
2414,3
2415,7
2416,7
2417,6
2418,4
2419,1
2420,2
2421,2
2422,4
2423,3
2424,3
2425,9
2426,1
2427,1
2428,2
2429,1
2430,5
2431,8
2432,9
2433,7
2434,4
2435,4
2436,2
2437,2
2438,5
2439,1
2440,1
2441,7
2442,7
2443,7
2444,7
2445,7
2446,2
2447,1
2448,2
2449,1
2450,9
2451,9
2452,1
2453,1
2454,9
2455,2
2456,3
2457,1
2458,1
2459,1
2460,4
2461,4
2462,1
2463,1
2464,1
2465,1
2466,1
2467,1
2468,1
2469,1
2470,6
2471,2
2472,2
2473,1
2474,3
2475,3
2476,2
2477,2
2478,2
2479,1
2480,4
2481,9
2482,9
2483,4
2484,7
2485,1
2486,2
2487,1
2488,3
2489,2
2490,1
2491,9
2492,1
2493,7
2494,4
2495,8
2496,7
2497,6
2498,6
2499,6
2500,6
2501,2
2502,4
2503,3
2504,3
2505,7
2506,1
2507,1
2508,9
2509,3
2510,1
2511,7
2512,3
2513,3
2514,5
2515,6
2516,2
2517,3
2518,3
2519,3
2520,3
2521,3
2522,3
2523,3
2524,3
2525,3
2526,2
2527,3
2528,2
2529,3
2530,2
2531,3
2532,3
2533,8
2534,8
2535,8
2536,8
2537,8
2538,8
2539,8
2540,8
2541,3
2542,3
2543,3
2544,8
2545,3
2546,3
2547,3
2548,3
2549,3
2550,3
2551,3
2552,3
2553,6
2554,3
2555,8
2556,3
2557,8
2558,3
2559,3
2560,3
2561,3
2562,3
2563,3
2564,3
2565,3
2566,3
2567,3
2568,3
2569,3
2570,3
2571,3
2572,3
2573,3
2574,3
2575,3
2576,3
2577,3
2578,3
2579,3
2580,8
2581,8
2582,8
2583,8
2584,2
2585,3
2586,3
2587,3
2588,8
2589,3
2590,7
2591,3
2592,3
2593,3
2594,9
2595,9
2596,9
2597,8
2598,3
2599,5
2600,3
2601,8
2602,8
2603,8
2604,1
2605,3
2606,9
2607,2
2608,1
2609,4
2610,5
2611,8
2612,9
2613,3
2614,6
2615,6
2616,6
2617,1
2618,1
2619,1
2620,1
2621,1
2622,1
2623,1
2624,4
2625,4
2626,1
2627,2
2628,2
2629,4
2630,1
2631,1
2632,1
2633,1
2634,1
2635,1
2636,1
2637,1
2638,1
2639,1
2640,1
2641,1
2642,1
2643,1
2644,1
2645,1
2646,1
2647,1
2648,1
2649,7
2650,1
2651,1
2652,1
2653,1
2654,1
2655,1
2656,4
2657,6
2658,8
2659,1
2660,7
2661,7
2662,7
2663,7
2664,7
2665,7
2666,7
2667,1
2668,0
2669,0
2670,0
2671,0
2672,0
2673,0
2674,0
2675,0
2676,0
2677,0
2678,0
2679,0
2680,0
2681,3
2682,3
2683,3
2684,0
2685,7
2686,4
2687,2
2688,1
2689,1
2690,1
2691,7
2692,1
2693,3
2694,3
2695,3
2696,3
2697,3
2698,3
2699,3
2700,3
2701,3
2702,3
2703,3
2704,3
2705,0
2706,0
2707,2
2708,2
2709,2
2710,2
2711,1
2712,3
2713,7
2714,7
2715,7
2716,7
2717,7
2718,7
2719,7
2720,7
2721,7
2722,7
2723,7
2724,7
2725,1
2726,2
2727,7
2728,1
2729,1
2730,1
2731,7
2732,1
2733,1
2734,1
2735,1
2736,1
2737,4
2738,4
2739,2
2740,2
2741,2
2742,3
2743,3
2744,3
2745,7
2746,3
2747,1
2748,1
2749,1
2750,9
2751,2
2752,3
2753,3
2754,3
2755,3
2756,9
2757,9
2758,9
2759,9
2760,8
2761,9
2762,5
2763,4
2764,4
2765,4
2766,4
2767,4
2768,4
2769,4
2770,4
2771,4
2772,4
2773,4
2774,4
2775,4
2776,4
2777,4
2778,4
2779,4
2780,6
2781,6
2782,6
2783,6
2784,6
2785,7
2786,7
2787,7
2788,2
2789,2
2790,4
2791,4
2792,4
2793,4
2794,4
2795,4
2796,4
2797,7
2798,7
2799,7
2800,7
2801,7
2802,3
2803,1
2804,2
2805,2
2806,2
2807,9
2808,8
2809,8
2810,8
2811,8
2812,8
2813,8
2814,8
2815,6
2816,6
2817,6
2818,6
2819,5
2820,5
2821,6
2822,6
2823,6
2824,6
2825,6
2826,6
2827,6
2828,6
2829,6
2830,6
2831,6
2832,6
2833,6
2834,6
2835,4
2836,4
2837,4
2838,4
2839,6
2840,6
2841,6
2842,6
2843,6
2844,6
2845,6
2846,6
2847,6
2848,6
2849,6
2850,6
2851,6
2852,6
2853,6
2854,6
2855,6
2856,6
2857,6
2858,6
2859,6
2860,6
2861,6
2862,3
2863,3
2864,3
2865,8
2866,8
2867,9
2868,9
2869,9
2870,8
2871,8
2872,4
2873,4
2874,4
2875,4
2876,4
2877,8
2878,4
2879,8
2880,4
2881,4
2882,1
2883,4
2884,4
2885,3
2886,4
2887,4
2888,4
2889,4
2890,4
2891,4
2892,4
2893,4
2894,4
2895,4
2896,4
2897,4
2898,4
2899,4
2900,4
2901,4
2902,4
2903,4
2904,2
2905,1
2906,9
2907,1
2908,1
2909,2
2910,7
2911,4
2912,4
2913,4
2914,4
2915,1
2916,3
2917,7
2918,8
2919,8
2920,8
2921,8
2922,8
2923,8
2924,8
2925,8
2926,8
2927,8
2928,8
2929,8
2930,8
2931,8
2932,8
2933,8
2934,8
2935,8
2936,8
2937,8
2938,2
2939,7
2940,3
2941,7
2942,7
2943,2
2944,3
2945,2
2946,2
2947,7
2948,1
2949,7
2950,2
2951,2
2952,2
2953,3
2954,4
2955,1
2956,7
2957,1
2958,6
2959,2
2960,1
2961,7
2962,7
2963,3
2964,2
2965,7
2966,2
2967,3
2968,3
2969,8
2970,3
2971,3
2972,3
2973,3
2974,3
2975,2
2976,2
2977,7
2978,3
2979,7
2980,2
2981,3
2982,3
2983,7
2984,7
2985,3
2986,4
2987,3
2988,2
2989,7
2990,7
2991,3
2992,8
2993,7
2994,7
2995,2
2996,7
2997,7
